dataHoraCotacao,valor_cotacao,timestamp_processamento
2016-01-04,4.038,2026-04-11T15:11:55.728Z
2016-01-05,4.0108,2026-04-11T15:11:55.728Z
2016-01-06,4.0297,2026-04-11T15:11:55.728Z
2016-01-07,4.0469,2026-04-11T15:11:55.728Z
2016-01-08,4.0244,2026-04-11T15:11:55.728Z
2016-01-09,4.0244,2026-04-11T15:11:55.728Z
2016-01-10,4.0244,2026-04-11T15:11:55.728Z
2016-01-11,4.0147,2026-04-11T15:11:55.728Z
2016-01-12,4.0293,2026-04-11T15:11:55.728Z
2016-01-13,3.9857,2026-04-11T15:11:55.728Z
2016-01-14,4.0217,2026-04-11T15:11:55.728Z
2016-01-15,4.0396,2026-04-11T15:11:55.728Z
2016-01-16,4.0396,2026-04-11T15:11:55.728Z
2016-01-17,4.0396,2026-04-11T15:11:55.728Z
2016-01-18,4.0358,2026-04-11T15:11:55.728Z
2016-01-19,4.0297,2026-04-11T15:11:55.728Z
2016-01-20,4.0855,2026-04-11T15:11:55.728Z
2016-01-21,4.1552,2026-04-11T15:11:55.728Z
2016-01-22,4.1226,2026-04-11T15:11:55.728Z
2016-01-23,4.1226,2026-04-11T15:11:55.728Z
2016-01-24,4.1226,2026-04-11T15:11:55.728Z
2016-01-25,4.0991,2026-04-11T15:11:55.728Z
2016-01-26,4.0961,2026-04-11T15:11:55.728Z
2016-01-27,4.0441,2026-04-11T15:11:55.728Z
2016-01-28,4.0832,2026-04-11T15:11:55.728Z
2016-01-29,4.0422,2026-04-11T15:11:55.728Z
2016-01-30,4.0422,2026-04-11T15:11:55.728Z
2016-01-31,4.0422,2026-04-11T15:11:55.728Z
2016-02-01,3.9979,2026-04-11T15:11:55.728Z
2016-02-02,3.9913,2026-04-11T15:11:55.728Z
2016-02-03,3.9552,2026-04-11T15:11:55.728Z
2016-02-04,3.8646,2026-04-11T15:11:55.728Z
2016-02-05,3.8969,2026-04-11T15:11:55.728Z
2016-02-06,3.8969,2026-04-11T15:11:55.728Z
2016-02-07,3.8969,2026-04-11T15:11:55.728Z
2016-02-08,3.8969,2026-04-11T15:11:55.728Z
2016-02-09,3.8969,2026-04-11T15:11:55.728Z
2016-02-10,3.9406,2026-04-11T15:11:55.728Z
2016-02-11,3.9636,2026-04-11T15:11:55.728Z
2016-02-12,3.9884,2026-04-11T15:11:55.728Z
2016-02-13,3.9884,2026-04-11T15:11:55.728Z
2016-02-14,3.9884,2026-04-11T15:11:55.728Z
2016-02-15,3.9879,2026-04-11T15:11:55.728Z
2016-02-16,4.0207,2026-04-11T15:11:55.728Z
2016-02-17,4.0312,2026-04-11T15:11:55.728Z
2016-02-18,4.0084,2026-04-11T15:11:55.728Z
2016-02-19,4.0486,2026-04-11T15:11:55.728Z
2016-02-20,4.0486,2026-04-11T15:11:55.728Z
2016-02-21,4.0486,2026-04-11T15:11:55.728Z
2016-02-22,3.9612,2026-04-11T15:11:55.728Z
2016-02-23,3.9678,2026-04-11T15:11:55.728Z
2016-02-24,3.9894,2026-04-11T15:11:55.728Z
2016-02-25,3.9394,2026-04-11T15:11:55.728Z
2016-02-26,3.9571,2026-04-11T15:11:55.728Z
2016-02-27,3.9571,2026-04-11T15:11:55.728Z
2016-02-28,3.9571,2026-04-11T15:11:55.728Z
2016-02-29,3.979,2026-04-11T15:11:55.728Z
2016-03-01,3.9907,2026-04-11T15:11:55.728Z
2016-03-02,3.911,2026-04-11T15:11:55.728Z
2016-03-03,3.8498,2026-04-11T15:11:55.728Z
2016-03-04,3.7182,2026-04-11T15:11:55.728Z
2016-03-05,3.7182,2026-04-11T15:11:55.728Z
2016-03-06,3.7182,2026-04-11T15:11:55.728Z
2016-03-07,3.7708,2026-04-11T15:11:55.728Z
2016-03-08,3.7807,2026-04-11T15:11:55.728Z
2016-03-09,3.7031,2026-04-11T15:11:55.728Z
2016-03-10,3.6694,2026-04-11T15:11:55.728Z
2016-03-11,3.6265,2026-04-11T15:11:55.728Z
2016-03-12,3.6265,2026-04-11T15:11:55.728Z
2016-03-13,3.6265,2026-04-11T15:11:55.728Z
2016-03-14,3.6232,2026-04-11T15:11:55.728Z
2016-03-15,3.711,2026-04-11T15:11:55.728Z
2016-03-16,3.8073,2026-04-11T15:11:55.728Z
2016-03-17,3.6439,2026-04-11T15:11:55.728Z
2016-03-18,3.614,2026-04-11T15:11:55.728Z
2016-03-19,3.614,2026-04-11T15:11:55.728Z
2016-03-20,3.614,2026-04-11T15:11:55.728Z
2016-03-21,3.6223,2026-04-11T15:11:55.728Z
2016-03-22,3.6067,2026-04-11T15:11:55.728Z
2016-03-23,3.6525,2026-04-11T15:11:55.728Z
2016-03-24,3.6942,2026-04-11T15:11:55.728Z
2016-03-25,3.6942,2026-04-11T15:11:55.728Z
2016-03-26,3.6942,2026-04-11T15:11:55.728Z
2016-03-27,3.6942,2026-04-11T15:11:55.728Z
2016-03-28,3.6401,2026-04-11T15:11:55.728Z
2016-03-29,3.6681,2026-04-11T15:11:55.728Z
2016-03-30,3.611,2026-04-11T15:11:55.728Z
2016-03-31,3.5583,2026-04-11T15:11:55.728Z
2016-04-01,3.5793,2026-04-11T15:11:55.728Z
2016-04-02,3.5793,2026-04-11T15:11:55.728Z
2016-04-03,3.5793,2026-04-11T15:11:55.728Z
2016-04-04,3.5865,2026-04-11T15:11:55.728Z
2016-04-05,3.6575,2026-04-11T15:11:55.728Z
2016-04-06,3.6743,2026-04-11T15:11:55.728Z
2016-04-07,3.6915,2026-04-11T15:11:55.728Z
2016-04-08,3.6379,2026-04-11T15:11:55.728Z
2016-04-09,3.6379,2026-04-11T15:11:55.728Z
2016-04-10,3.6379,2026-04-11T15:11:55.728Z
2016-04-11,3.5278,2026-04-11T15:11:55.728Z
2016-04-12,3.54,2026-04-11T15:11:55.728Z
2016-04-13,3.5423,2026-04-11T15:11:55.728Z
2016-04-14,3.512,2026-04-11T15:11:55.728Z
2016-04-15,3.527,2026-04-11T15:11:55.728Z
2016-04-16,3.527,2026-04-11T15:11:55.728Z
2016-04-17,3.527,2026-04-11T15:11:55.728Z
2016-04-18,3.5898,2026-04-11T15:11:55.728Z
2016-04-19,3.5532,2026-04-11T15:11:55.728Z
2016-04-20,3.5497,2026-04-11T15:11:55.728Z
2016-04-21,3.5497,2026-04-11T15:11:55.728Z
2016-04-22,3.5823,2026-04-11T15:11:55.728Z
2016-04-23,3.5823,2026-04-11T15:11:55.728Z
2016-04-24,3.5823,2026-04-11T15:11:55.728Z
2016-04-25,3.5466,2026-04-11T15:11:55.728Z
2016-04-26,3.5294,2026-04-11T15:11:55.728Z
2016-04-27,3.5289,2026-04-11T15:11:55.728Z
2016-04-28,3.4986,2026-04-11T15:11:55.728Z
2016-04-29,3.4502,2026-04-11T15:11:55.728Z
2016-04-30,3.4502,2026-04-11T15:11:55.728Z
2016-05-01,3.4502,2026-04-11T15:11:55.728Z
2016-05-02,3.4985,2026-04-11T15:11:55.728Z
2016-05-03,3.5544,2026-04-11T15:11:55.728Z
2016-05-04,3.5391,2026-04-11T15:11:55.728Z
2016-05-05,3.529,2026-04-11T15:11:55.728Z
2016-05-06,3.5356,2026-04-11T15:11:55.728Z
2016-05-07,3.5356,2026-04-11T15:11:55.728Z
2016-05-08,3.5356,2026-04-11T15:11:55.728Z
2016-05-09,3.538,2026-04-11T15:11:55.728Z
2016-05-10,3.4766,2026-04-11T15:11:55.728Z
2016-05-11,3.4639,2026-04-11T15:11:55.728Z
2016-05-12,3.4871,2026-04-11T15:11:55.728Z
2016-05-13,3.5035,2026-04-11T15:11:55.728Z
2016-05-14,3.5035,2026-04-11T15:11:55.728Z
2016-05-15,3.5035,2026-04-11T15:11:55.728Z
2016-05-16,3.5029,2026-04-11T15:11:55.728Z
2016-05-17,3.5031,2026-04-11T15:11:55.728Z
2016-05-18,3.5362,2026-04-11T15:11:55.728Z
2016-05-19,3.5997,2026-04-11T15:11:55.728Z
2016-05-20,3.5413,2026-04-11T15:11:55.728Z
2016-05-21,3.5413,2026-04-11T15:11:55.728Z
2016-05-22,3.5413,2026-04-11T15:11:55.728Z
2016-05-23,3.5654,2026-04-11T15:11:55.728Z
2016-05-24,3.5485,2026-04-11T15:11:55.728Z
2016-05-25,3.5798,2026-04-11T15:11:55.728Z
2016-05-26,3.5798,2026-04-11T15:11:55.728Z
2016-05-27,3.6162,2026-04-11T15:11:55.728Z
2016-05-28,3.6162,2026-04-11T15:11:55.728Z
2016-05-29,3.6162,2026-04-11T15:11:55.728Z
2016-05-30,3.5991,2026-04-11T15:11:55.728Z
2016-05-31,3.5945,2026-04-11T15:11:55.728Z
2016-06-01,3.612,2026-04-11T15:11:55.728Z
2016-06-02,3.5955,2026-04-11T15:11:55.728Z
2016-06-03,3.5403,2026-04-11T15:11:55.728Z
2016-06-04,3.5403,2026-04-11T15:11:55.728Z
2016-06-05,3.5403,2026-04-11T15:11:55.728Z
2016-06-06,3.5092,2026-04-11T15:11:55.728Z
2016-06-07,3.4739,2026-04-11T15:11:55.728Z
2016-06-08,3.3892,2026-04-11T15:11:55.728Z
2016-06-09,3.3811,2026-04-11T15:11:55.728Z
2016-06-10,3.4255,2026-04-11T15:11:55.728Z
2016-06-11,3.4255,2026-04-11T15:11:55.728Z
2016-06-12,3.4255,2026-04-11T15:11:55.728Z
2016-06-13,3.4527,2026-04-11T15:11:55.728Z
2016-06-14,3.4833,2026-04-11T15:11:55.728Z
2016-06-15,3.4762,2026-04-11T15:11:55.728Z
2016-06-16,3.4898,2026-04-11T15:11:55.728Z
2016-06-17,3.4366,2026-04-11T15:11:55.728Z
2016-06-18,3.4366,2026-04-11T15:11:55.728Z
2016-06-19,3.4366,2026-04-11T15:11:55.728Z
2016-06-20,3.3829,2026-04-11T15:11:55.728Z
